Department Name,Abbreviation,Subject Area Name,Abbreviation.1,Div,School,are_classes
Near Eastern Languages and Cultures,NR+EAST,Islamic Studies,ISLM+ST,HU,LS,1
Near Eastern Languages and Cultures,NR+EAST,Jewish Studies,JEWISH,HU,LS,1
Near Eastern Languages and Cultures,NR+EAST,Middle Eastern Studies,M+E+STD,HU,LS,1
Near Eastern Languages and Cultures,NR+EAST,Near Eastern Languages,NR+EAST,HU,LS,1
Near Eastern Languages and Cultures,NR+EAST,Semitic,SEMITIC,HU,LS,1
Near Eastern Languages and Cultures,NR+EAST,Turkic Languages,TURKIC,HU,LS,1
Neurobiology,NEURBIO,Medical History,MED+HIS,MN,MN,1
Neurobiology,NEURBIO,Neurobiology,NEURBIO,MN,MN,1
Neuroscience,NEUROSC,Neuroscience (undergraduate),NEUROSC,LF,LS,1
Neuroscience (Graduate),NEURO,Neuroscience (Graduate),NEURO,MN,MN,1
Nursing,NURSING,Nursing,NURSING,NS,NS,1
Pathology and Laboratory Medicine,PATH,Pathology and Laboratory Medicine,PATH,MN,MN,1
Philosophy,PHILOS,Philosophy,PHILOS,HU,LS,1
Physics and Biology in Medicine,PBMED,Physics and Biology in Medicine,PBMED,MN,MN,1
Physiology,PHYSIOL,Physiology,PHYSIOL,MN,MN,1
Political Science,POL+SCI,Political Science,POL+SCI,SS,LS,1
Psychiatry and Biobehavioral Sciences,PSYCTRY,Psychiatry and Biobehavioral Sciences,PSYCTRY,MN,MN,1
Psychology,PSYCH,Psychology,PSYCH,LF,LS,1
Public Affairs,PUB+AFF,Public Affairs,PUB+AFF,PA,PA,1
Public Health,PUB+HLT,Public Health,PUB+HLT,PH,PH,1
"Religion, Study of",RELIGN,"Religion, Study of",RELIGN,HU,LS,1
Research Practice,RES+PRC,Research Practice,RES+PRC,GS,LS,1
Science Education,SCI+EDU,Science Education,SCI+EDU,PS,LS,1
Social Science,SOC+SC,Social Science,SOC+SC,SS,LS,1
Social Thought,SOC+THT,Social Thought,SOC+THT,SS,LS,1
Social Welfare,SOC+WLF,Social Welfare,SOC+WLF,PA,PA,1
Society and Genetics,SOC+GEN,Society and Genetics,SOC+GEN,LF,LS,1
Sociology,SOCIOL,Sociology,SOCIOL,SS,LS,1
Spanish and Portuguese,SPAN,Indigenous Languages of the Americas,IL+AMER,HU,LS,1
Spanish and Portuguese,SPAN,Portuguese,PORTGSE,HU,LS,1
Spanish and Portuguese,SPAN,Spanish,SPAN,HU,LS,1
Statistics (pre-23S),STATS,Statistics,STATS,PS,LS,1
Theater,THEATER,Theater,THEATER,TF,TF,1
University Studies,UNIV+ST,University Studies,UNIV+ST,GS,LS,1
Urban Planning,URBN+PL,Urban Planning,URBN+PL,PA,PA,1
