full_prof_name,class_name
tian-deng,com-sci-m138
sandra-batista,com-sci-m148
nader-sehatbakhsh,com-sci-m151b
guy-van-den-broeck,com-sci-161
guy-van-den-broeck,com-sci-161
zhou-min,com-sci-163
asish-law,com-sci-174a
alexander-korb,com-sci-180
raghu-meka,com-sci-181
None,com-sci-m184
ioanna-kakoulli,clt-htg-m215
c-p-o'meara,clt-htg-260
e.i.-ntekume,desma-10
e.i.-ntekume,desma-101
wendy-kurtz,dgt-hum-101
-sanders,dgt-hum-120
caitlin-solone,dis-std-101w
helen-e-deutsch,dis-std-m103
rachel-rose-knapp,dis-std-m112
jeffrey-b-lewis,dis-std-m115
caitlin-solone,dis-std-129
None,dis-std-m161
tina-treude,eps-sci-3
roger-hale-varney,eps-sci-m7
sean-d-young,eps-sci-9
None,eps-sci-15
pedro-manuel-monarrez,eps-sci-16
kevin-coffey,eps-sci-61
kevin-coffey,eps-sci-103b
edwin-schauble,eps-sci-c106
jonathan-aurnou,eps-sci-153
hao-cao,eps-sci-154
eduardo-paulo-jorge-da-costa-alves,eps-sci-m156
jeffrey-jacobs,eps-sci-cm173
lars-stixrude,eps-sci-200a
jonathan-aurnou,eps-sci-200b
juliana-newman,eps-sci-201
edwin-schauble,eps-sci-c206
None,eps-sci-cm273
olivia-osei-twumasi,econ-1
kimberly-s-boswell,econ-2
maurizio-mazzocco,econ-11
chris-surro,econ-11
jinyong-hahn,econ-41
jonathan-vogel,econ-101
matthew-bigio-luks,econ-102
randall-rojas,econ-103
randall-rojas,econ-103l
kimberly-s-boswell,econ-104
kimberly-s-boswell,econ-104l
patrick-dennis-convery,econ-106f
patrick-dennis-convery,econ-106fb
moritz-meyer-ter-vehn,econ-106i
moritz-meyer-ter-vehn,econ-106i
moritz-meyer-ter-vehn,econ-106il
moritz-meyer-ter-vehn,econ-106il
olivia-osei-twumasi,econ-111
pablo-fajgelbaum,econ-121
pablo-fajgelbaum,econ-121
adriana-lleras-muney,econ-133
adriana-lleras-muney,econ-133l
william-m-rafey,econ-134
william-m-rafey,econ-134
olivia-osei-twumasi,econ-137
ichiro-obara,econ-142
randall-rojas,econ-144
patrick-dennis-convery,econ-160
lorena-i-guillen,educ-10
lucrecia-santibanez,educ-11
mark-eagan,educ-35
sherrel-howard,educ-107a
richard-desjardins,educ-109a
karen-hunter-quartz,educ-113
judith-p-hansen,educ-150
minjeong-jeon,educ-151
ron-astor,educ-m177
jose-fe-martinez-fernandez,educ-200b
marko-sokolich,ec-engr-2
dennis-m-briggs,ec-engr-3
hooman-darabi,honors-lec-1
hooman-darabi,ec-engr-11l
miodrag-potkonjak,ec-engr-m16
nikita-gupta,ec-engr-100
sam-emaminejad,ec-engr-101a
mary-kao,ec-engr-102
danijela-cabric,ec-engr-113
dennis-m-briggs,ec-engr-113da
flavio-lorenzelli,ec-engr-114
jennifer-m-chang,ec-engr-115a
nader-sehatbakhsh,ec-engr-m116c
tian-deng,ec-engr-m117
x-xiao,ec-engr-m119
elaheh-ahmadi,ec-engr-121b
v.p.-foreman,ec-engr-131a
lieven-vandenberghe,ec-engr-133a
paulo-tabuada,ec-engr-141
sun-ah-jun,ec-engr-m148
hooman-darabi,engr-1it
steven-e-zipperstein,engr-2
scheherezade-j-hormozi,engr-87
meliha-bulu-taciroglu,engr-110
meliha-bulu-taciroglu,engr-111
gershon-weltman,engr-183ew
m.r.-phillips,engl-4w
kristen-cardon,engl-4w
m.r.-phillips,engl-4w
alan-chapman,engl-4w
sarah-martinez,engl-4w
j.p.-maloy,engl-4w
None,engl-4w
-wu,engl-4w
