class_name,class_dates,class_times,year,semester
Health Policy and Management (HLT POL) 445 - Health-Care Marketing Lec 1,MW,10am-11:50am,2024,fall
Health Policy and Management (HLT POL) 446 - Health-Care Operations Management Lec 1,MW,4pm-5:50pm,2024,fall
"History (HIST) 1A - Introduction to Western Civilization: Ancient Civilizations, Prehistory to circa AD 843 Lec 1",MWF,10am-10:50am,2024,fall
History (HIST) 1B - Introduction to Western Civilization: Circa 843 to circa 1715 Lec 1,TR,11am-12:15pm,2024,fall
History (HIST) 1C - Introduction to Western Civilization: Circa 1715 to Present Lec 1,TR,2pm-3:15pm,2024,fall
History (HIST) 3A - History of Science: Renaissance to 1800 Lec 1,MWF,2pm-2:50pm,2024,fall
History (HIST) 8A - Colonial Latin America Lec 1,TR,11am-12:15pm,2024,fall
History (HIST) 9A - Introduction to Asian Civilizations: History of India Lec 1,TR,3:30pm-4:45pm,2024,fall
History (HIST) 9D - Introduction to Asian Civilizations: History of Middle East Lec 1,MWF,10am-10:50am,2024,fall
History (HIST) 11A - History of China: To 1000 Lec 1,MWF,9am-9:50am,2024,fall
History (HIST) 12B - Inequality: History of Neoliberalism Lec 1,TR,12:30pm-1:45pm,2024,fall
History (HIST) 13A - History of the U.S. and Its Colonial Origins: Colonial Origins and First Nation Building Acts Lec 1,TR,2pm-3:15pm,2024,fall
History (HIST) 20 - World History to AD 600 Lec 1,MWF,11am-11:50am,2024,fall
History (HIST) 94 - What Is History? An Introduction to Historical Thinking and Practice Lec 1,T,4pm-5:50pm,2024,fall
"History (HIST) 111B - Topics in Middle Eastern History: Early Modern: Ottoman-European Encounters in Early Modern Period: Diplomacy, Trade, Piracy, and Travelers Lec 1",TR,3:30pm-4:45pm,2024,fall
History (HIST) 113A - History of Ancient Greece: Rise of Greek City-State Lec 1,MWF,11am-11:50am,2024,fall
History (HIST) 114A - History of Rome to Death of Caesar Lec 1,MWF,8am-8:50am,2024,fall
History (HIST) 116A - Byzantine History Lec 1,TR,8am-9:15am,2024,fall
"History (HIST) 119D - Topics in Medieval History: Myth of Superhero, Then and Now Lec 1",R,T,2024,fall
"History (HIST) 120D - Film and History: Central and Eastern Europe, 1945 to 1989 Lec 1",W,9am-11:50am,2024,fall
"History (HIST) 132 - Topics in European History: War and Peace in Europe, 1700 to 1925 Lec 1",TR,3:30pm-4:45pm,2024,fall
"History (HIST) 139A - U.S., Civil War and Reconstruction Lec 1",TR,8am-9:15am,2024,fall
History (HIST) 142B - Intellectual History of U.S. Lec 1,TR,12:30pm-1:45pm,2024,fall
History (HIST) M146B - American Working Class Movements Lec 1,TR,2pm-3:15pm,2024,fall
History (HIST) 148 - Introduction to Public/Applied History Lec 1,TR,12:30pm-1:45pm,2024,fall
"History (HIST) 149A - North American Indian History, Precontact to 1830 Lec 1",TR,2pm-3:15pm,2024,fall
History (HIST) M150B - Introduction to Afro-American History Lec 1,TR,9:30am-10:45am,2024,fall
History (HIST) 167B - History of East Africa Lec 1,TR,11am-12:15pm,2024,fall
History (HIST) 173D - Postwar Japanese History through Film Lec 1,M,3pm-6:20pm,2024,fall
History (HIST) 179A - Variable Topics in History of Medicine: Life After Life: Human Anatomy as Ephemeral Information Lec 1,TR,11am-12:15pm,2024,fall
History (HIST) M182A - Ancient Jewish History Lec 1,TR,3:30pm-4:45pm,2024,fall
"History (HIST) M186B - Global Feminism, 1850 to Present Lec 1",TR,5pm-6:15pm,2024,fall
"Honors Collegium (HNRS) M145 - Politics of Crisis: Migration, Identity, and Religion Lec 1",MW,12pm-1:50pm,2024,fall
Human Genetics (HUM GEN) 236A - Advanced Human Genetics A: Molecular Aspects Lec 1,MW,F,2024,fall
Human Genetics (HUM GEN) 400A - Principles and Practices in Medical Genetics 1 Lec 1,T,R,2024,fall
Human Genetics (HUM GEN) 401 - Fundamental Genetic Counseling Skills Lec 1,TR,1pm-3pm,2024,fall
Human Genetics (HUM GEN) 404 - Advanced Genetic Counseling Skills Lec 1,10am-12pm,Select Human Genetics (HUM GEN) 404 - Advanced Genetic Counseling Skills Lec 1,2024,fall
Human Genetics (HUM GEN) 406 - Foundations of Genomic Medicine Lec 1,F,12pm-2pm,2024,fall
Human Genetics (HUM GEN) 430 - Clinical Applications of Cytogenetics and Molecular Techniques Lec 1,T,10:30am-12pm,2024,fall
Indo-European Studies (I E STD) M168A - Elementary Hittite Lec 1,TR,11am-12:15pm,2024,fall
Indo-European Studies (I E STD) 205 - Indo-European Phonology Lec 1,MW,12:30pm-1:45pm,2024,fall
Information Studies (INF STD) 30 - Internet and Society Lec 1,M,W,2024,fall
Information Studies (INF STD) 211 - Artifacts and Cultures Lec 1,M,5:30pm-8:50pm,2024,fall
Information Studies (INF STD) M254 - Medical Information Infrastructures and Internet Technologies Lec 1,Select Information Studies (INF STD) M254 - Medical Information Infrastructures and Internet Technologies Lec 1,Select Information Studies (INF STD) M254 - Medical Information Infrastructures and Internet Technologies Lec 1,2024,fall
Information Studies (INF STD) 275 - Community Media and Design Lec 1,R,9am-11:50am,2024,fall
Information Studies (INF STD) 278 - Information and Visualization Lec 1,R,9am-11:50am,2024,fall
Information Studies (INF STD) 423 - Public Libraries Lec 1,W,8:30am-11:50am,2024,fall
Information Studies (INF STD) 424 - Storytelling Lec 1,R,5:30pm-8:50pm,2024,fall
"Information Studies (INF STD) 431 - Archives, Records, and Memory Lec 1",MW,10am-11:50am,2024,fall
Information Studies (INF STD) 434 - Archival Use and Users Lec 1,Select Information Studies (INF STD) 434 - Archival Use and Users Lec 1,Select Information Studies (INF STD) 434 - Archival Use and Users Lec 1,2024,fall
International and Area Studies (I A STD) 1 - Introduction to International and Area Studies Lec 1,MW,11am-12:15pm,2024,fall
International and Area Studies (I A STD) M8A - Elementary Tigrinya Lec 1,TR,5pm-6:50pm,2024,fall
160 - Selected Topics in International and Area Studies: Lecture 1,Select International and Area Studies (I A STD) 160 - Selected Topics in International and Area Studies Lec 1,MW,2024,fall
International and Area Studies (I A STD) 160 - Selected Topics in International and Area Studies Lec 1,MW,12:30pm-1:45pm,2024,fall
International Development Studies (INTL DV) 1 - Introduction to International Development Studies Lec 1,TR,9:30am-10:45am,2024,fall
"International Development Studies (INTL DV) 110 - Culture, Power, and Development Lec 1",MW,5pm-6:15pm,2024,fall
International Development Studies (INTL DV) 160 - Selected Topics in International Development Studies: Gender and Development in East Asia Lec 1,MW,12:30pm-1:45pm,2024,fall
Labor Studies (LBR STD) 10 - Introduction to Labor and Workplace Studies Lec 1,F,12pm-2:50pm,2024,fall
Labor Studies (LBR STD) 101 - Introduction to Labor and Social Movements in Los Angeles Lec 1,MW,11am-12:15pm,2024,fall
Labor Studies (LBR STD) M105 - American Working Class Movements Lec 1,TR,2pm-3:15pm,2024,fall
Labor Studies (LBR STD) M117 - Negotiation Lec 1,F,12pm-2:50pm,2024,fall
Labor Studies (LBR STD) M125 - U.S./Mexico Relations Lec 1,MW,12pm-1:50pm,2024,fall
"Labor Studies (LBR STD) M127 - Farmworker Movements, Social Justice, and United Farm Workers Legacy Lec 1",TR,9:30am-10:45am,2024,fall
"Labor Studies (LBR STD) 140 - Working It: Women, Work, and Family Lec 1",MW,5pm-6:15pm,2024,fall
"Labor Studies (LBR STD) 153 - Stories of Struggle: Work, Class, and Narrative in Contemporary America Lec 1",R,12pm-2:50pm,2024,fall
Labor Studies (LBR STD) 168 - Law and Politics of Immigration: Migrants and Inevitable Evolution of Collective and Individual Rights Lec 1,W,2pm-4:50pm,2024,fall
Labor Studies (LBR STD) M175 - Agitational Communication Lec 1,W,5pm-7:50pm,2024,fall
"Labor Studies (LBR STD) 179A - Neoliberalism, Social Justice, and Transformative Politics Lec 1",TR,9:30am-10:45am,2024,fall
Latin American Studies (LATN AM) 205 - Latin Americanist Scholarship Lec 1,W,12:30pm-3:20pm,2024,fall
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS) M101D - Studies in Queer Literatures and Cultures: Queer American Short Story Lec 1",MW,10am-11:50am,2024,fall
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS) M114 - Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies Lec 1",MW,11am-12:15pm,2024,fall
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS) M137 - Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music Lec 1",MW,9am-10:50am,2024,fall
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS) 183 - Variable Topics in Queer Subjectivities/Theories/History Lec 1",MW,11am-12:15pm,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 1,MW,9:30am-10:45am,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 2,MW,11am-12:15pm,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 3,MW,12:30pm-1:45pm,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 4,MW,2pm-3:15pm,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 5,MW,3:30pm-4:45pm,2024,fall
Life Sciences (LIFESCI) 7A - Cell and Molecular Biology Lec 6,MW,5pm-6:15pm,2024,fall
"Life Sciences (LIFESCI) 7B - Genetics, Evolution, and Ecology Lec 1",MW,11am-12:15pm,2024,fall
"Life Sciences (LIFESCI) 7B - Genetics, Evolution, and Ecology Lec 2",MW,12:30pm-1:45pm,2024,fall
Life Sciences (LIFESCI) 7C - Physiology and Human Biology Lec 1,MWF,10am-10:50am,2024,fall
Life Sciences (LIFESCI) 7C - Physiology and Human Biology Lec 2,TR,9:30am-10:45am,2024,fall
Life Sciences (LIFESCI) 7L - Introduction to Laboratory and Scientific Methodology Lec 1,M,12pm-1:20pm,2024,fall
Life Sciences (LIFESCI) 15 - Life: Concepts and Issues Lec 1,TR,11am-12:15pm,2024,fall
Life Sciences (LIFESCI) 30A - Mathematics for Life Scientists Lec 1,TR,9:30am-10:45am,2024,fall
Life Sciences (LIFESCI) 30A - Mathematics for Life Scientists Lec 2,TR,11am-12:15pm,2024,fall
Life Sciences (LIFESCI) 30A - Mathematics for Life Scientists Lec 3,TR,2pm-3:15pm,2024,fall
Life Sciences (LIFESCI) 30A - Mathematics for Life Scientists Lec 4,TR,3:30pm-4:45pm,2024,fall
Life Sciences (LIFESCI) M32 - Essential Calculus for Mathematical Biologists Lec 1,MWF,2pm-2:50pm,2024,fall
Life Sciences (LIFESCI) 107 - Genetics Lec 1,MW,9:30am-10:45am,2024,fall
Linguistics (LING) 1 - Introduction to Study of Language Lec 1,W,10am-10:50am,2024,fall
Linguistics (LING) 20 - Introduction to Linguistic Analysis Lec 1,8am-9:50am,W,2024,fall
Linguistics (LING) 103 - Introduction to General Phonetics Lec 1,MW,8am-9:50am,2024,fall
Linguistics (LING) 105 - Morphology Lec 1,TR,10am-11:50am,2024,fall
Linguistics (LING) 110 - Introduction to Historical Linguistics Lec 1,TR,4pm-5:50pm,2024,fall
Linguistics (LING) 119A - Applied Phonology Lec 1,TR,4pm-5:50pm,2024,fall
Linguistics (LING) 120A - Phonology I Lec 1,TR,12pm-1:50pm,2024,fall
Linguistics (LING) 120B - Syntax I Lec 1,MW,4pm-5:50pm,2024,fall
Linguistics (LING) 120C - Semantics I Lec 1,MW,4pm-5:50pm,2024,fall
Linguistics (LING) 132 - Language Processing Lec 1,MW,10am-11:50am,2024,fall
Linguistics (LING) C140 - Bilingualism and Second Language Acquisition Lec 1,MW,12pm-1:50pm,2024,fall
Linguistics (LING) 165B - Syntax II Lec 1,TR,2pm-3:50pm,2024,fall
Linguistics (LING) 185A - Computational Linguistics I Lec 1,MW,2pm-3:50pm,2024,fall
Linguistics (LING) 200A - Phonological Theory I Lec 1,MW,2pm-3:50pm,2024,fall
Linguistics (LING) 200B - Syntactic Theory I Lec 1,MW,10am-11:50am,2024,fall
Linguistics (LING) 200C - Semantic Theory I Lec 1,TR,10am-11:50am,2024,fall
Linguistics (LING) 204B - Speech Production Lec 1,MW,2pm-3:50pm,2024,fall
Linguistics (LING) 403 - Practical Phonetics Training Lec 1,R,9am-9:50am,2024,fall
Linguistics (LING) 403 - Practical Phonetics Training Lec 2,R,10am-10:50am,2024,fall
Linguistics (LING) 403 - Practical Phonetics Training Lec 3,R,2pm-2:50pm,2024,fall
Linguistics (LING) 403 - Practical Phonetics Training Lec 4,R,3pm-3:50pm,2024,fall
Management (MGMT) 1A - Principles of Accounting Lec 1,TR,12:30pm-1:45pm,2024,fall
Management (MGMT) 1A - Principles of Accounting Lec 2,TR,2pm-3:15pm,2024,fall
Management (MGMT) 1B - Principles of Accounting Lec 1,TR,11am-12:15pm,2024,fall
Management (MGMT) 108 - Business Law Lec 1,R,1pm-3:50pm,2024,fall
Management (MGMT) 108 - Business Law Lec 2,MW,8am-9:15am,2024,fall
Management (MGMT) 120A - Intermediate Financial Accounting I Lec 1,MW,5pm-6:15pm,2024,fall
Management (MGMT) 120A - Intermediate Financial Accounting I Lec 2,TR,11am-12:15pm,2024,fall
Management (MGMT) 120B - Intermediate Financial Accounting II Lec 1,MW,9:30am-10:45am,2024,fall
Management (MGMT) 120B - Intermediate Financial Accounting II Lec 2,MW,3:30pm-4:45pm,2024,fall
Management (MGMT) 121 - Ethical Leadership in Accounting Lec 1,MW,12:30pm-1:45pm,2024,fall
Management (MGMT) 122 - Management Accounting Lec 1,TR,9:30am-10:45am,2024,fall
Management (MGMT) 123 - Auditing Lec 1,TR,11am-12:15pm,2024,fall
Management (MGMT) 124 - Advanced Accounting Lec 1,TR,12:30pm-1:45pm,2024,fall
Management (MGMT) 127A - Tax Principles and Policy Lec 1,TR,2pm-3:15pm,2024,fall
Management (MGMT) 127A - Tax Principles and Policy Lec 2,MW,11am-12:15pm,2024,fall
Management (MGMT) 142A - Analytics in Accounting I Lec 1,M,1pm-3:50pm,2024,fall
Management (MGMT) 142A - Analytics in Accounting I Lec 2,M,4:10pm-7pm,2024,fall
Management (MGMT) 159 - Foundations of Business and Entrepreneurship Lec 1,W,8:30am-11:20am,2024,fall
Management (MGMT) 160 - Entrepreneurship and Venture Initiation Lec 1,R,1pm-3:50pm,2024,fall
Management (MGMT) 160 - Entrepreneurship and Venture Initiation Lec 2,W,1pm-3:50pm,2024,fall
Management (MGMT) 161 - Business Plan Development Lec 1,W,1pm-3:50pm,2024,fall
Management (MGMT) 164 - Entrepreneurial Finance and Accounting Lec 1,TR,11am-12:15pm,2024,fall
Management (MGMT) 168 - Personal Financial Health: Theory and Practice Lec 1,MW,12:45pm-2:15pm,2024,fall
Management (MGMT) 170 - Real Estate Finance and Investments Lec 1,TR,5pm-6:15pm,2024,fall
Management (MGMT) 180 - Special Topics in Management: Global Ecosystem of Sport Lec 1,W,4:10pm-7pm,2024,fall
Management (MGMT) 228 - Financial Statement Analysis Lec 1,W,1pm-3:50pm,2024,fall
Management (MGMT) 231E - Managing Finance and Financing Emerging Enterprises Lec 1,M,1pm-3:50pm,2024,fall
Management (MGMT) 235 - Venture Capital and Private Equity Lec 1,T,1pm-3:50pm,2024,fall
Management (MGMT) 250D - Patterns of Problem Solving Lec 1,W,1pm-3:50pm,2024,fall
Management (MGMT) 264A - Market Research Lec 1,M,1pm-3:50pm,2024,fall
Management (MGMT) 266A - New Product Development Lec 1,T,1pm-3:50pm,2024,fall
Management (MGMT) 278A - Urban Real Estate Financing and Investing Lec 1,T,4:10pm-7pm,2024,fall
Management (MGMT) 279A - Cases in Real Estate Investments Lec 1,W,4:10pm-7pm,2024,fall
Management (MGMT) 282 - Optimizing Team Performance Lec 1,T,4:10pm-7pm,2024,fall
Management (MGMT) 284C - Managing Entrepreneurial Organizations Lec 1,M,4:10pm-7pm,2024,fall
Management (MGMT) 295D - Business Plan Development Lec 1,W,4:10pm-7pm,2024,fall
Management (MGMT) 298D - Special Topics in Management: Climate Analytics and Strategy Lec 6,R,4:10pm-7pm,2024,fall
Management (MGMT) 298D - Special Topics in Management: Content Creation and Exploitation in Digital Age Lec 3,T,4:10pm-7pm,2024,fall
"Management (MGMT) 298D - Special Topics in Management: Energy, Climate Change, and Finance Lec 1","Select Management (MGMT) 298D - Special Topics in Management: Energy, Climate Change, and Finance Lec 1","Select Management (MGMT) 298D - Special Topics in Management: Energy, Climate Change, and Finance Lec 1",2024,fall
Management (MGMT) 298D - Special Topics in Management: From Studios to Streamers: Radical Reinvention of Content Distribution Today Lec 2,R,4:10pm-7pm,2024,fall
Management (MGMT) 298D - Special Topics in Management Lec 4,Select Management (MGMT) 298D - Special Topics in Management Lec 4,Select Management (MGMT) 298D - Special Topics in Management Lec 4,2024,fall
Management (MGMT) 298D - Special Topics in Management: Sustainability Reporting Lec 5,R,7:10pm-10pm,2024,fall
Management (MGMT) 298E - Special Topics in Management: Venture Capital Strategy Lec 1,R,1pm-3:50pm,2024,fall
Management (MGMT) 425 - Leadership Communication Lec 1,M,7:10pm-10pm,2024,fall
Management (MGMT) 430 - Corporate Finance Lec 1,M,1pm-3:50pm,2024,fall
Management (MGMT) 430 - Corporate Finance Lec 2,M,4:10pm-7pm,2024,fall
Materials Science and Engineering (MAT SCI) 104 - Science of Engineering Materials Lec 1,MW,8am-9:50am,2024,fall
Materials Science and Engineering (MAT SCI) 104 - Science of Engineering Materials Lec 2,MW,12pm-1:50pm,2024,fall
Materials Science and Engineering (MAT SCI) 105 - Principles of Nanoscience and Nanotechnology Lec 1,MW,2pm-3:50pm,2024,fall
"Materials Science and Engineering (MAT SCI) 110 - Introduction to Materials Characterization A (Crystal Structure, Nanostructures, and X-Ray Scattering) Lec 1",MW,4pm-5:50pm,2024,fall
Materials Science and Engineering (MAT SCI) 120 - Physics of Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 120 - Physics of Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 120 - Physics of Materials Lec 80,2024,fall
Materials Science and Engineering (MAT SCI) 130 - Phase Relations in Solids Lec 1,TR,10am-11:50am,2024,fall
Materials Science and Engineering (MAT SCI) 160 - Introduction to Ceramics and Glasses Lec 1,TR,12pm-1:50pm,2024,fall
Materials Science and Engineering (MAT SCI) CM163 - Electrochemical Processes Lec 1,MW,2pm-3:50pm,2024,fall
Materials Science and Engineering (MAT SCI) CM180 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,2024,fall
Materials Science and Engineering (MAT SCI) 200 - Principles of Materials Science I Lec 1,MW,12pm-1:50pm,2024,fall
Materials Science and Engineering (MAT SCI) 201 - Principles of Materials Science II Lec 1,MW,10am-11:50am,2024,fall
Materials Science and Engineering (MAT SCI) M213 - Cultural Materials Science I: Analytical Imaging and Documentation in Conservation of Materials Lec 1,R,9am-10:50am,2024,fall
Materials Science and Engineering (MAT SCI) 221 - Science of Electronic Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 221 - Science of Electronic Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 221 - Science of Electronic Materials Lec 80,2024,fall
Materials Science and Engineering (MAT SCI) 243A - Fracture of Structural Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 243A - Fracture of Structural Materials Lec 80,Select Materials Science and Engineering (MAT SCI) 243A - Fracture of Structural Materials Lec 80,2024,fall
Materials Science and Engineering (MAT SCI) 243C - Dislocations and Strengthening Mechanisms in Solids Lec 1,MW,12pm-1:50pm,2024,fall
Materials Science and Engineering (MAT SCI) 243C - Dislocations and Strengthening Mechanisms in Solids Lec 80,Select Materials Science and Engineering (MAT SCI) 243C - Dislocations and Strengthening Mechanisms in Solids Lec 1,MW,2024,fall
Materials Science and Engineering (MAT SCI) 252 - Organic Polymer Electronic Materials Lec 1,TR,2pm-3:50pm,2024,fall
Materials Science and Engineering (MAT SCI) 253 - Bioinspired Materials Lec 1,TR,10am-11:50am,2024,fall
Materials Science and Engineering (MAT SCI) CM263 - Electrochemical Processes Lec 1,MW,2pm-3:50pm,2024,fall
Materials Science and Engineering (MAT SCI) CM280 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,2024,fall
Materials Science and Engineering (MAT SCI) 282 - Exploration of Advanced Topics in Materials Science and Engineering Lec 1,F,10am-11:50am,2024,fall
Mathematics (MATH) 1 - Precalculus Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 1 - Precalculus Lec 2,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 3A - Calculus for Life Sciences Students Lec 1,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 31A - Differential and Integral Calculus Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 31A - Differential and Integral Calculus Lec 2,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 31A - Differential and Integral Calculus Lec 3,MWF,4pm-4:50pm,2024,fall
Mathematics (MATH) 31A - Differential and Integral Calculus Lec 4,MWF,5pm-5:50pm,2024,fall
Mathematics (MATH) 31B - Integration and Infinite Series Lec 1,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 31B - Integration and Infinite Series Lec 2,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 31B - Integration and Infinite Series Lec 3,MWF,3pm-3:50pm,2024,fall
Mathematics (MATH) 32A - Calculus of Several Variables Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 32A - Calculus of Several Variables Lec 2,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 32A - Calculus of Several Variables Lec 3,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 32A - Calculus of Several Variables Lec 4,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 32AH - Calculus of Several Variables (Honors) Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 32B - Calculus of Several Variables Lec 1,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 32B - Calculus of Several Variables Lec 2,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) M32T - Essential Calculus for Mathematical Biologists Lec 1,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 33A - Linear Algebra and Applications Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 33A - Linear Algebra and Applications Lec 2,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 33A - Linear Algebra and Applications Lec 3,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 33B - Differential Equations Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 33B - Differential Equations Lec 2,MWF,2pm-2:50pm,2024,fall
"Mathematics (MATH) 42 - Introduction to Data-Driven Mathematical Modeling: Life, Universe, and Everything Lec 1",MWF,8am-8:50am,2024,fall
Mathematics (MATH) 61 - Introduction to Discrete Structures Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 61 - Introduction to Discrete Structures Lec 2,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 70 - Introduction to Probability Lec 1,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 95 - Transition to Upper-Division Mathematics Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 100 - Problem Solving Lec 1,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 105A - Mathematics and Pedagogy for Teaching Secondary School Mathematics Lec 1,MW,1pm-2:50pm,2024,fall
Mathematics (MATH) 110A - Algebra Lec 1,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 110AH - Algebra (Honors) Lec 1,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 2,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 3,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 4,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 5,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 6,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 7,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 8,MWF,3pm-3:50pm,2024,fall
Mathematics (MATH) 115A - Linear Algebra Lec 9,MWF,4pm-4:50pm,2024,fall
Mathematics (MATH) 115AH - Linear Algebra (Honors) Lec 1,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 118 - Mathematical Methods of Data Theory Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 120A - Differential Geometry Lec 1,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 131A - Analysis Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 131A - Analysis Lec 2,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 131A - Analysis Lec 3,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 131A - Analysis Lec 4,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 131A - Analysis Lec 5,MWF,3pm-3:50pm,2024,fall
Mathematics (MATH) 131AH - Analysis (Honors) Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 131B - Analysis Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 131B - Analysis Lec 2,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 132 - Complex Analysis for Applications Lec 1,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 132 - Complex Analysis for Applications Lec 2,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 134 - Linear and Nonlinear Systems of Differential Equations Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 134 - Linear and Nonlinear Systems of Differential Equations Lec 2,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 135 - Ordinary Differential Equations Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 135 - Ordinary Differential Equations Lec 2,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 135 - Ordinary Differential Equations Lec 3,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 142 - Mathematical Modeling Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 142 - Mathematical Modeling Lec 2,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 151A - Applied Numerical Methods Lec 1,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 151A - Applied Numerical Methods Lec 2,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 151A - Applied Numerical Methods Lec 3,MWF,1pm-1:50pm,2024,fall
Mathematics (MATH) 151A - Applied Numerical Methods Lec 4,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 151B - Applied Numerical Methods Lec 1,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 155 - Mathematical Imaging Lec 1,MWF,3pm-3:50pm,2024,fall
Mathematics (MATH) 156 - Machine Learning Lec 1,MWF,2pm-2:50pm,2024,fall
Mathematics (MATH) 156 - Machine Learning Lec 2,MWF,11am-11:50am,2024,fall
Mathematics (MATH) 164 - Optimization Lec 1,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 164 - Optimization Lec 2,MWF,12pm-12:50pm,2024,fall
Mathematics (MATH) 164 - Optimization Lec 3,MWF,3pm-3:50pm,2024,fall
Mathematics (MATH) 167 - Mathematical Game Theory Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 170E - Introduction to Probability and Statistics 1: Probability Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 170E - Introduction to Probability and Statistics 1: Probability Lec 2,MWF,9am-9:50am,2024,fall
Mathematics (MATH) 170E - Introduction to Probability and Statistics 1: Probability Lec 3,MWF,10am-10:50am,2024,fall
Mathematics (MATH) 170S - Introduction to Probability and Statistics 2: Statistics Lec 1,MWF,8am-8:50am,2024,fall
Mathematics (MATH) 170S - Introduction to Probability and Statistics 2: Statistics Lec 2,MWF,9am-9:50am,2024,fall
