class_name,class_dates,class_times,year,semester
Art History (ART HIS) 21 - Medieval Art Lec 1,TR,2pm-3:15pm,2024,fall
Art History (ART HIS) 29 - Chinese Art Lec 1,MW,11am-12:15pm,2024,fall
Art History (ART HIS) M114C - Classical Archaeology: Greco-Roman Painting Lec 1,TR,12:30pm-1:45pm,2024,fall
Art History (ART HIS) C116A - Middle Byzantine Art and Architecture Lec 1,TR,11am-12:15pm,2024,fall
Art History (ART HIS) 121C - Italian Renaissance Art of 16th Century Lec 1,MW,2pm-3:15pm,2024,fall
Art History (ART HIS) 124 - Northern Renaissance Art Lec 1,TR,12:30pm-1:45pm,2024,fall
Art History (ART HIS) 127B - European Art of 19th Century Lec 1,MW,11am-12:15pm,2024,fall
"Art History (ART HIS) C128B - History of Photography, 1910 to Present Lec 1",TR,2pm-3:15pm,2024,fall
Art History (ART HIS) C136A - Selected Topics in African American Art Lec 1,TR,3:30pm-4:45pm,2024,fall
Art History (ART HIS) C142B - Latin American Art of 20th Century Lec 1,MW,2pm-3:15pm,2024,fall
Art History (ART HIS) 251B - Japanese Art Lec 1,R,1pm-2:50pm,2024,fall
Asian American Studies (ASIA AM) 10 - History of Asian Americans Lec 1,TR,9:30am-10:45am,2024,fall
Asian American Studies (ASIA AM) 20 - Contemporary Asian American Communities Lec 1,TR,12:30pm-1:45pm,2024,fall
Asian American Studies (ASIA AM) 40W - Asian American Movement Lec 1,TR,11am-12:15pm,2024,fall
"Asian American Studies (ASIA AM) M161 - Ethnic, Cultural, and Gender Issues in America's Healthcare Systems Lec 1",MW,11am-12:15pm,2024,fall
Asian American Studies (ASIA AM) 171C - Critical Issues in U.S.-Korea Relations Lec 1,TR,2pm-3:15pm,2024,fall
Bioengineering (BIOENGR) 10 - Introduction to Bioengineering Lec 1,F,10am-11:50am,2024,fall
Bioengineering (BIOENGR) C105 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,2024,fall
Bioengineering (BIOENGR) 120 - Biomedical Transducers Lec 1,MW,12pm-1:50pm,2024,fall
Bioengineering (BIOENGR) C135 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,2024,fall
Bioengineering (BIOENGR) CM145 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) M153 - Introduction to Microscale and Nanoscale Manufacturing Lec 1,MW,12:30pm-1:45pm,2024,fall
Bioengineering (BIOENGR) C166 - Wearable Bioelectronics Lec 1,MW,4pm-5:50pm,2024,fall
Bioengineering (BIOENGR) 177A - Bioengineering Capstone Design I Lec 1,TR,6pm-7:50pm,2024,fall
Bioengineering (BIOENGR) CM178 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,2024,fall
