class_name,class_dates,class_times,class_professor,year,semester,prof_rating,bruin_walk_url
Anthropology (ANTHRO) 128P - Primate Behavior Nonhuman to Human Lec 1,TR,12:30pm-1:45pm,"Perry, S.E.",2024,fall,N/A,https://bruinwalk.com/professors/perry-daniel
Anthropology (ANTHRO) 130 - Study of Culture Lec 1,MW,12:30pm-1:45pm,"Thein, S.M.",2024,fall,4.7,https://bruinwalk.com/professors/seinenu-myint-thein/anthro-130/
Anthropology (ANTHRO) 134 - Anthropology of Migration Lec 1,MW,12:30pm-1:45pm,"Hart, L.",2024,fall,N/A,https://bruinwalk.com/professors/d-l-hart
Anthropology (ANTHRO) 136B - Introduction to Psychological Anthropology: Current Topics and Research Lec 1,MW,11am-12:15pm,"Hollan, D.W.",2024,fall,4.3,https://bruinwalk.com/professors/douglas-w-hollan/anthro-136b/
Anthropology (ANTHRO) 139 - Selected Topics in Cultural Anthropology: Anthropology of Extreme Human Experience Lec 1,MW,11am-12:15pm,"Lemelson, R.B.",2024,fall,4.7,https://bruinwalk.com/professors/robert-lemelson/anthro-139/
Anthropology (ANTHRO) 141 - Careers in Anthropology Lec 1,T,4pm-6:50pm,"Loyd, H.M.",2024,fall,N/A,https://bruinwalk.com/professors/loyd-gattis
"Anthropology (ANTHRO) 149 - Selected Topics in Social Anthropology: Marriage, Family, and Kinship in Chinese Culture Lec 1",W,9am-11:50am,"Yan, Y.",2024,fall,N/A,https://bruinwalk.com/professors/han-yan
Anthropology (ANTHRO) 151 - Ethnography of Everyday Speech Lec 1,TR,8am-9:15am,The Staff,2024,fall,N/A,N/A
"Anthropology (ANTHRO) 152R - Language, Culture, and Education Lec 1",MW,3:30pm-4:45pm,The Staff,2024,fall,N/A,N/A
Anthropology (ANTHRO) 154Q - Gender and Language in Society Lec 1,TR,3:30pm-4:45pm,"Mengesha, Z.",2024,fall,N/A,https://bruinwalk.com/professors/z-pearlstone
Anthropology (ANTHRO) 163Q - Societies of Central Asia Lec 1,MW,8am-9:15am,"Levine, N.",2024,fall,N/A,https://bruinwalk.com/professors/andrew-levine
Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,"Wake, T.A.",2024,fall,N/A,https://bruinwalk.com/professors/thomas-wake/archeol-m205a/
Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 2,M,3pm-5:50pm,"Shahat, A.K.",2024,fall,5.0,https://bruinwalk.com/professors/amr-shahat/archeol-m205a/
Art 31A - Rise of Modernism in Global Context Lec 1,F,9am-11:50am,"Vikram, A.",2024,fall,N/A,https://bruinwalk.com/professors/vikram-tamboli
Art M185 - Whose Monument Where: Course on Public Art Lec 1,TR,2pm-3:50pm,Lopez Gaspar de Al,2024,fall,N/A,https://bruinwalk.com/professors/l-lopez-gaspar-de-al
Art History (ART HIS) 21 - Medieval Art Lec 1,TR,2pm-3:15pm,"Cohen, M.M.",2024,fall,N/A,https://bruinwalk.com/professors/arthur-m-cohen
Art History (ART HIS) 29 - Chinese Art Lec 1,MW,11am-12:15pm,"Lee, H.",2024,fall,N/A,https://bruinwalk.com/professors/eun-h-lee
Art History (ART HIS) M114C - Classical Archaeology: Greco-Roman Painting Lec 1,TR,12:30pm-1:45pm,"Papadopoulos, J.K.",2024,fall,N/A,https://bruinwalk.com/professors/m-papadopoulos
Art History (ART HIS) C116A - Middle Byzantine Art and Architecture Lec 1,TR,11am-12:15pm,"Gerstel, S.E.",2024,fall,5.0,https://bruinwalk.com/professors/sharon-gerstel/art-his-c116a/
Art History (ART HIS) 121C - Italian Renaissance Art of 16th Century Lec 1,MW,2pm-3:15pm,The Staff,2024,fall,N/A,N/A
Art History (ART HIS) 124 - Northern Renaissance Art Lec 1,TR,12:30pm-1:45pm,"Harwell, G.T.",2024,fall,3.0,https://bruinwalk.com/professors/gregory-todd-harwell/art-his-124/
Art History (ART HIS) 127B - European Art of 19th Century Lec 1,MW,11am-12:15pm,"Medvedev, N.",2024,fall,N/A,https://bruinwalk.com/professors/natasha-medvedev/art-his-127b/
"Art History (ART HIS) C128B - History of Photography, 1910 to Present Lec 1",TR,2pm-3:15pm,No instructors,2024,fall,N/A,N/A
Art History (ART HIS) C136A - Selected Topics in African American Art Lec 1,TR,3:30pm-4:45pm,"Barber, T.E.",2024,fall,5.0,https://bruinwalk.com/professors/tiffany-e-barber/art-his-c136a/
Art History (ART HIS) C142B - Latin American Art of 20th Century Lec 1,MW,2pm-3:15pm,"Rosenblum, B.T.",2024,fall,4.3,https://bruinwalk.com/professors/beth-rosenblum/art-his-c142b/
Art History (ART HIS) 251B - Japanese Art Lec 1,R,1pm-2:50pm,"Kersey, K.W.",2024,fall,N/A,https://bruinwalk.com/professors/kristopher-kersey/art-his-251b/
Asian American Studies (ASIA AM) 10 - History of Asian Americans Lec 1,TR,9:30am-10:45am,"Fong, K.N.",2024,fall,N/A,https://bruinwalk.com/professors/caitlin-fong
Asian American Studies (ASIA AM) 20 - Contemporary Asian American Communities Lec 1,TR,12:30pm-1:45pm,"Tamai, L.Y.",2024,fall,4.0,https://bruinwalk.com/professors/lily-anne-yumi-tamai/asia-am-20/
Asian American Studies (ASIA AM) 40W - Asian American Movement Lec 1,TR,11am-12:15pm,"Bascara, V.",2024,fall,3.4,https://bruinwalk.com/professors/victor-bascara/asia-am-40w/
"Asian American Studies (ASIA AM) M161 - Ethnic, Cultural, and Gender Issues in America's Healthcare Systems Lec 1",MW,11am-12:15pm,"Sangalang, C.C.",2024,fall,5.0,https://bruinwalk.com/professors/cindy-sangalang/asia-am-m161/
Asian American Studies (ASIA AM) 171C - Critical Issues in U.S.-Korea Relations Lec 1,TR,2pm-3:15pm,"Kim, S.",2024,fall,N/A,https://bruinwalk.com/professors/s-s-kim
Bioengineering (BIOENGR) 10 - Introduction to Bioengineering Lec 1,F,10am-11:50am,"Linsley, C.",2024,fall,3.8,https://bruinwalk.com/professors/chase-linsley/bioengr-10/
Bioengineering (BIOENGR) 100 - Bioengineering Fundamentals Lec 1,TR,4pm-5:50pm,"Kamei, D.T.",2024,fall,N/A,https://bruinwalk.com/professors/daniel-t.-kamei
Bioengineering (BIOENGR) C104 - Physical Chemistry of Biomacromolecules Lec 1,TR,2pm-3:50pm,"Wong, G.C.",2024,fall,N/A,https://bruinwalk.com/professors/robert-g-wong
Bioengineering (BIOENGR) C105 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,"Deming, T.J.",2024,fall,3.5,https://bruinwalk.com/professors/timothy-j-deming/bioengr-c105/
Bioengineering (BIOENGR) 120 - Biomedical Transducers Lec 1,MW,12pm-1:50pm,"Schmidt, J.J.",2024,fall,3.5,https://bruinwalk.com/professors/jacob-j-schmidt/bioengr-120/
Bioengineering (BIOENGR) C135 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,"Sangiorgio, S.N.",2024,fall,N/A,https://bruinwalk.com/professors/sophia-sangiorgio/bioengr-c135/
Bioengineering (BIOENGR) CM145 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,"Park, J.",2024,fall,N/A,https://bruinwalk.com/professors/park-williams
Bioengineering (BIOENGR) M153 - Introduction to Microscale and Nanoscale Manufacturing Lec 1,MW,12:30pm-1:45pm,"Chiou, P.",2024,fall,N/A,https://bruinwalk.com/professors/pei-yu-chiou/bioengr-m153/
Bioengineering (BIOENGR) C166 - Wearable Bioelectronics Lec 1,MW,4pm-5:50pm,"Chen, J.",2024,fall,N/A,https://bruinwalk.com/professors/j-chen
Bioengineering (BIOENGR) 177A - Bioengineering Capstone Design I Lec 1,TR,6pm-7:50pm,"Kamariza, M.",2024,fall,N/A,https://bruinwalk.com/professors/mireille-kamariza
Bioengineering (BIOENGR) CM178 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,"Linsley, C.",2024,fall,N/A,https://bruinwalk.com/professors/chase-linsley/bioengr-cm178/
Bioengineering (BIOENGR) M184 - Introduction to Computational and Systems Biology Lec 1,F,2pm-3:50pm,TA,2024,fall,N/A,N/A
Bioengineering (BIOENGR) 188 - Special Courses in Bioengineering Lec 1,MW,8am-9:50am,"Wilson, J.L.",2024,fall,N/A,https://bruinwalk.com/professors/wilson-chen
Bioengineering (BIOENGR) 188 - Special Courses in Bioengineering Lec 2,MW,2pm-3:50pm,"Wilson, J.L.",2024,fall,N/A,https://bruinwalk.com/professors/wilson-chen
Bioengineering (BIOENGR) C204 - Physical Chemistry of Biomacromolecules Lec 1,TR,2pm-3:50pm,"Wong, G.C.",2024,fall,N/A,https://bruinwalk.com/professors/robert-g-wong
Bioengineering (BIOENGR) C205 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,"Deming, T.J.",2024,fall,N/A,https://bruinwalk.com/professors/timothy-j-deming/bioengr-c205/
Bioengineering (BIOENGR) M214A - Digital Speech Processing Lec 1,MW,2pm-3:50pm,"Alwan, A.A.",2024,fall,N/A,https://bruinwalk.com/professors/abeer-a.h.-alwan
